i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100
1,1,601,908,2401,1.45,1.10,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
2,125,725,1027,2525,1.82,1.56,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
3,328,928,1378,2728,1.40,1.85,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
4,374,974,1502,2774,1.76,1.27,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
5,456,1056,1618,2856,1.67,1.55,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
6,519,1119,1235,2919,1.39,1.63,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
7,548,1148,1520,2948,1.94,1.22,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
8,595,1195,1401,2995,1.59,1.82,90,90,113,113,90,90,113,90,135,113,90,90,113,113,90,113,90,90,90,90,90,113,90,135,113,113,90,113,113,113,90,135,90,90,113,113,90,90,113,90,90,135,90,90,113,113,113,90,113,113,113,90,113,113,113,113,113,90,90,90,90,113,113,113,113,90,90,113,113,113,113,113,135,113,113,90,135,90,90,113,90,113,90,113,113,90,113,113,90,90,90,90,90,113,90,113,113,90,113,90
9,601,1201,1584,3001,1.02,1.33,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
10,618,1218,1343,3018,1.59,1.88,68,68,90,68,68,68,90,68,90,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,90,68,68,68,68,68,68,90,68,68,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,68,68,90,68,68,90,90,68,68,68,68,68,90,90,90,68,68,68,90,90,68,68,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,90,68
