i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44
1,0,0,0,0,2.00,2.00,99999,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
2,4,79,137,196,2.00,2.00,96,99999,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
3,71,146,271,396,1.00,1.00,72,72,99999,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
4,151,226,351,476,1.00,1.00,72,72,80,99999,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
5,231,306,431,556,1.00,1.00,72,72,80,80,99999,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
6,303,378,503,628,2.00,2.00,96,96,200,200,200,99999,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
7,453,528,626,724,2.00,2.00,96,96,200,200,200,96,99999,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
8,560,635,727,820,2.00,2.00,96,96,200,200,200,96,96,99999,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
9,695,770,895,1020,1.00,1.00,72,72,80,80,80,72,72,72,99999,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
10,767,842,967,1092,2.00,2.00,96,96,200,200,200,96,96,96,200,99999,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
11,967,1042,1167,1292,1.00,1.00,72,72,80,80,80,72,72,72,80,72,99999,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
12,1039,1114,1239,1364,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,99999,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
13,1239,1314,1439,1564,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,99999,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
14,1319,1394,1519,1644,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,99999,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
15,1391,1466,1591,1716,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,99999,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
16,1591,1666,1791,1916,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,99999,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
17,1671,1746,1871,1996,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,99999,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
18,1743,1818,1943,2068,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,99999,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
19,1943,2018,2143,2268,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,99999,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
20,2023,2098,2223,2348,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,99999,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
21,2095,2170,2295,2420,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,99999,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
22,2191,2266,2391,2516,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,99999,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
23,2391,2466,2591,2716,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,99999,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
24,2463,2538,2663,2788,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,99999,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
25,2663,2738,2863,2988,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,99999,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
26,2743,2818,2943,3068,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,99999,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
27,2823,2898,3023,3148,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,99999,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
28,2903,2978,3103,3228,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,99999,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,80
29,2975,3050,3175,3300,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,99999,96,200,96,200,96,96,200,200,200,96,96,96,96,96,200
30,3071,3146,3271,3396,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,99999,200,96,200,96,96,200,200,200,96,96,96,96,96,200
31,3271,3346,3471,3596,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,99999,72,80,72,72,80,80,80,72,72,72,72,72,80
32,3343,3418,3543,3668,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,99999,200,96,96,200,200,200,96,96,96,96,96,200
33,3543,3618,3743,3868,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,99999,72,72,80,80,80,72,72,72,72,72,80
34,3615,3690,3815,3940,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,99999,96,200,200,200,96,96,96,96,96,200
35,3711,3786,3911,4036,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,99999,200,200,200,96,96,96,96,96,200
36,3911,3986,4111,4236,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,99999,80,80,72,72,72,72,72,80
37,3991,4066,4191,4316,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,99999,80,72,72,72,72,72,80
38,4071,4146,4271,4396,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,99999,72,72,72,72,72,80
39,4143,4218,4343,4468,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,99999,96,96,96,96,200
40,4239,4314,4439,4564,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,99999,96,96,96,200
41,4335,4410,4535,4660,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,99999,96,96,200
42,4431,4506,4631,4756,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,99999,96,200
43,4527,4602,4727,4852,2.00,2.00,96,96,200,200,200,96,96,96,200,96,200,96,200,200,96,200,200,96,200,200,96,96,200,96,200,200,200,200,96,96,200,96,200,96,96,200,200,200,96,96,96,96,99999,200
44,4727,4802,4927,5052,1.00,1.00,72,72,80,80,80,72,72,72,80,72,80,72,80,80,72,80,80,72,80,80,72,72,80,72,80,80,80,80,72,72,80,72,80,72,72,80,80,80,72,72,72,72,72,99999
