i,appt,e,t,l,g,h,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
1,0,75,82,486,30.00,30.00,99999,3,8,15,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
2,82,157,197,628,10.00,10.00,3,99999,8,15,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
3,59,134,160,561,10.00,10.00,8,8,99999,15,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
4,28,103,117,565,30.00,30.00,15,15,15,99999,8,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
5,126,201,261,735,10.00,10.00,8,8,8,8,99999,15,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
6,20,95,106,524,30.00,30.00,15,15,15,15,15,99999,3,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
7,110,185,229,664,10.00,10.00,3,3,3,3,3,3,99999,8,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
8,23,98,108,523,30.00,30.00,8,8,8,8,8,8,8,99999,8,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
9,42,117,132,578,30.00,30.00,8,8,8,8,8,8,8,8,99999,3,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
10,42,117,130,569,30.00,30.00,3,3,3,3,3,3,3,3,3,99999,3,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
11,57,132,149,615,30.00,30.00,3,3,3,3,3,3,3,3,3,3,99999,8,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
12,39,114,126,551,30.00,30.00,8,8,8,8,8,8,8,8,8,8,8,99999,8,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
13,186,261,336,834,10.00,10.00,8,8,8,8,8,8,8,8,8,8,8,8,99999,3,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
14,175,250,316,790,10.00,10.00,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,3,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
15,139,214,258,688,10.00,10.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,15,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
16,235,310,409,967,10.00,10.00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,99999,15,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
17,194,269,338,818,10.00,10.00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,99999,8,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
18,162,237,287,726,10.00,10.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,8,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
19,69,144,160,607,30.00,30.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,15,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
20,76,151,169,624,30.00,30.00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,99999,15,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
21,504,579,628,866,15.00,15.00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,99999,3,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
22,257,332,425,799,30.00,30.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,8,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
23,150,225,333,712,25.00,25.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,8,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
24,101,176,269,610,10.00,10.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,8,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
25,203,278,398,721,15.00,15.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,3,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
26,220,295,378,781,30.00,30.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,3,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
27,250,325,426,954,20.00,20.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,8,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
28,259,334,498,897,20.00,20.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,3,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
29,287,362,521,1012,15.00,15.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,15,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
30,421,496,634,1023,20.00,20.00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,99999,15,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
31,400,475,674,976,15.00,15.00,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,99999,3,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
32,254,329,512,863,30.00,30.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99999,8,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
33,281,356,524,963,25.00,25.00,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99999,15,15,3,8,3,15,8,15,15,3,3,15,15,3,8,15,3
